Name,Location,Year,Miles_Driven,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mpg,Mileage km/l,Engine,Power,Seats,New_Price,Price,Difference
Toyota Fortuner 4x4 MT TRD Sportivo,Delhi,2013,42780,69000,Diesel,Manual,First,29.49,12.55,2982 CC,169 bhp,7,,14.45,14.45
Mercedes-Benz E-Class E 220 d,Kochi,2018,16371,26405,Petrol,Automatic,First,29.61,12.6,1950 CC,191.34 bhp,5,86.97,51.43,35.54
Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,27900,45000,Diesel,Manual,First,37.13,15.8,2148 CC,170 bhp,5,,23,23
Skoda Yeti Ambition 4X2,Kolkata,2012,39856,64284,Diesel,Manual,First,41.64,17.72,1968 CC,108.49 bhp,5,,5.5,5.5
Hyundai Grand i10 Sportz,Delhi,2015,16740,27000,Petrol,Manual,First,44.42,18.9,1197 CC,82 bhp,5,,4.5,4.5
Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,2280,3678,Petrol,Manual,First,42.68,18.16,1196 CC,86.8 bhp,5,,6.8,6.8
Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,13020,21000,Petrol,Manual,First,39.48,16.8,1395 CC,138.02 bhp,5,,8.75,8.75
Renault Duster 85PS Diesel RxL Option,Mumbai,2015,41540,67000,Diesel,Manual,Second,46.69,19.87,1461 CC,83.8 bhp,5,,7,7
Land Rover Range Rover Evoque 2.0 TD4 Pure,Delhi,2015,14880,24000,Diesel,Automatic,Second,36.85,15.68,1999 CC,177 bhp,5,,33.5,33.5
Ford Figo Diesel EXI,Chennai,2011,46500,75000,Diesel,Manual,Second,47.00,20,1399 CC,68 bhp,5,,2.25,2.25
Ford Endeavour Hurricane Limited Edition,Hyderabad,2008,110980,179000,Diesel,Automatic,Second,30.08,12.8,2953 CC,156 bhp,7,,4.24,4.24
Toyota Fortuner 4x4 MT,Coimbatore,2017,29263,47198,Diesel,Manual,First,29.49,12.55,2982 CC,168.5 bhp,7,,28.42,28.42
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,32240,52000,Diesel,Manual,First,51.86,22.07,1199 CC,73.9 bhp,5,,2.75,2.75
Maruti Ritz VDi,Jaipur,2011,56420,91000,Diesel,Manual,First,54.52,23.2,1248 CC,73.94 bhp,5,,3,3
Nissan Micra Diesel XV Premium,Pune,2013,37200,60000,Diesel,Manual,First,54.24,23.08,1461 CC,63.1 bhp,5,,3.55,3.55
Hyundai Verna 1.6 SX,Kolkata,2013,23481,37873,Diesel,Manual,First,52.45,22.32,1582 CC,126.32 bhp,5,,4.8,4.8
BMW 5 Series 2003-2012 523i,Kolkata,2011,19220,31000,Petrol,Automatic,First,25.38,10.8,2497 CC,150 bhp,5,,13.5,13.5
Mercedes-Benz GLS 350d 4MATIC,Pune,2017,79980,129000,Diesel,Automatic,First,25.85,11,2987 CC,258 bhp,7,1 Cr,56,#VALUE!
Honda CR-V 2.4L 4WD AT,Hyderabad,2004,48360,78000,Petrol,Automatic,First,28.20,12,2354 CC,187.4 bhp,5,,3.99,3.99
Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016,19840,32000,Diesel,Automatic,First,39.97,17.01,1582 CC,126.2 bhp,5,,15.5,15.5
Hyundai i10 Era,Jaipur,2010,36580,59000,Petrol,Manual,Second,46.55,19.81,1086 CC,68.05 bhp,5,,2.32,2.32
Mercedes-Benz A Class A200 CDI Sport,Kochi,2016,21971,35437,Diesel,Automatic,First,47.00,20,2143 CC,136 bhp,5,,18.58,18.58
Maruti Ertiga VXI,Jaipur,2014,60760,98000,Petrol,Manual,First,37.65,16.02,1373 CC,93.7 bhp,7,,5.5,5.5
Skoda Octavia Classic 1.9 TDI MT,Chennai,2006,44640,72000,Diesel,Manual,Second,43.95,18.7,1896 CC,66 bhp,5,,3.2,3.2
Honda Amaze VX i-Vtech,Pune,2015,48980,79000,Petrol,Manual,First,42.30,18,1198 CC,86.7 bhp,5,,4,4
Maruti Zen LXi BSII,Chennai,2004,17980,29000,Petrol,Manual,First,40.66,17.3,993 CC,60 bhp,5,,1.6,1.6
Maruti SX4 ZXI MT BSIV,Kochi,2013,40927,66012,Petrol,Manual,First,36.43,15.5,1586 CC,103.3 bhp,5,,4.15,4.15
Honda Brio VX AT,Mumbai,2014,21700,35000,Petrol,Automatic,First,38.78,16.5,1198 CC,86.8 bhp,5,,4.25,4.25
Maruti Wagon R VXI,Ahmedabad,2011,46500,75000,Petrol,Manual,First,44.42,18.9,998 CC,67.1 bhp,5,,2.6,2.6
Toyota Camry A/T,Mumbai,2008,49600,80000,Petrol,Automatic,Second,28.44,12.1,2362 CC,164.7 bhp,5,,3.43,3.43
Chevrolet Beat LS,Kochi,2012,20285,32717,Petrol,Manual,First,43.71,18.6,1199 CC,79.4 bhp,5,,2.55,2.55
Toyota Fortuner 4x4 AT,Delhi,2017,15500,25000,Diesel,Automatic,First,29.49,12.55,2982 CC,168.5 bhp,7,,32,32
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,48980,79000,Diesel,Manual,First,53.35,22.7,1498 CC,89.84 bhp,5,,6.25,6.25
Maruti Swift Vdi BSIII,Hyderabad,2010,53320,86000,Diesel,Manual,Second,41.83,17.8,1248 CC,75 bhp,5,,3.6,3.6
Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,84940,137000,Diesel,Automatic,First,31.73,13.5,2987 CC,282 bhp,5,,18.5,18.5
Honda Mobilio S i VTEC,Mumbai,2015,15500,25000,Petrol,Manual,Second,40.66,17.3,1497 CC,117.3 bhp,7,,4.25,4.25
Hyundai Grand i10 Sportz,Mumbai,2017,5270,8500,Petrol,Manual,Second,44.42,18.9,1197 CC,82 bhp,5,,4.8,4.8
Mahindra XUV500 AT W8 FWD,Bangalore,2015,21080,34000,Diesel,Automatic,First,37.60,16,2179 CC,140 bhp,7,,13,13
Skoda Fabia 1.6 MPI Elegance,Pune,2012,25810,41629,Petrol,Manual,Second,34.85,14.83,1598 CC,105 bhp,5,,2.25,2.25
Hyundai Santro Xing GLS,Hyderabad,2009,49741,80227,Petrol,Manual,First,42.11,17.92,1086 CC,62.1 bhp,5,,2.3,2.3
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,5324,8587,Petrol,Manual,First,35.93,15.29,1591 CC,121.3 bhp,5,,13.56,13.56
Mahindra Scorpio 1.99 S8,Delhi,2017,18600,30000,Diesel,Manual,First,36.19,15.4,1997 CC,120 bhp,7,,12.25,12.25
Skoda Rapid 1.6 TDI Ambition,Pune,2013,39795,64186,Diesel,Manual,First,48.18,20.5,1598 CC,103.5 bhp,5,,3.76,3.76
Renault Duster 110PS Diesel RxZ,Coimbatore,2015,47385,76427,Diesel,Manual,First,44.67,19.01,1461 CC,108.45 bhp,5,,8.58,8.58
BMW X5 xDrive 30d,Hyderabad,2011,46500,75000,Diesel,Automatic,First,27.50,11.7,2993 CC,245 bhp,5,,27.5,27.5
Toyota Etios G,Coimbatore,2013,16787,27075,Petrol,Manual,First,41.36,17.6,1496 CC,88.73 bhp,5,,4.95,4.95
Maruti Wagon R LXI,Ahmedabad,2012,18600,30000,Petrol,Manual,First,52.88,22.5,998 CC,67.04 bhp,5,4.74,3.3,1.44
Hyundai Creta 1.6 SX,Chennai,2016,43049,69434,Petrol,Manual,First,37.13,15.8,1591 CC,121.3 bhp,5,14.84,8,6.84
Maruti Celerio VXI,Jaipur,2014,34720,56000,Petrol,Manual,First,54.29,23.1,998 CC,67.04 bhp,5,,2.79,2.79
Land Rover Range Rover HSE Dynamic,Coimbatore,2017,30551,49275,Diesel,Automatic,First,29.85,12.7,2179 CC,187.7 bhp,5,,45.64,45.64
Chevrolet Beat LT,Pune,2014,5394,8700,Petrol,Manual,First,43.71,18.6,1199 CC,76.8 bhp,5,,2.55,2.55
Tata Nano Twist XT,Ahmedabad,2014,11160,18000,Petrol,Manual,Second,59.69,25.4,624 CC,37.5 bhp,4,,1,1
Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,25445,41041,Diesel,Automatic,First,41.55,17.68,1968 CC,174.33 bhp,5,,37.56,37.56
Mercedes-Benz E-Class 280 CDI,Kochi,2009,49888,80464,Diesel,Automatic,Second,25.85,11,2987 CC,198.5 bhp,5,,9.29,9.29
Maruti Swift VXI,Kochi,2019,12814,20667,Petrol,Manual,First,51.70,22,1197 CC,81.80 bhp,5,,6.37,6.37
Fiat Linea T Jet,Coimbatore,2013,37375,60283,Petrol,Manual,First,34.31,14.6,1368 CC,112 bhp,5,,2.98,2.98
Maruti Swift VXI Optional,Kochi,2017,19652,31696,Petrol,Manual,First,47.94,20.4,1197 CC,81.80 bhp,5,,5.75,5.75
Toyota Fortuner 3.0 Diesel,Hyderabad,2010,62000,100000,Diesel,Manual,First,27.03,11.5,2982 CC,171 bhp,7,,13,13
Maruti Ertiga ZXI,Mumbai,2014,8284,13361,Petrol,Manual,First,37.65,16.02,1373 CC,93.7 bhp,7,,6.8,6.8
BMW 3 Series 320i Sedan,Coimbatore,2010,30004,48394,Petrol,Automatic,First,28.32,12.05,1995 CC,154 bhp,5,,10.49,10.49
Maruti Ertiga VXI,Jaipur,2014,29387,47399,Petrol,Manual,First,37.65,16.02,1373 CC,93.7 bhp,7,,5.6,5.6
Honda City 1.5 V AT,Mumbai,2010,42780,69000,Petrol,Automatic,Second,39.48,16.8,1497 CC,118 bhp,5,,2.85,2.85
Hyundai Santa Fe 4X4,Coimbatore,2013,40472,65278,Diesel,Manual,First,34.45,14.66,2199 CC,194.3 bhp,7,,8.36,8.36
Tata Indigo LS,Jaipur,2005,66960,108000,Diesel,Manual,First,39.95,17,1405 CC,70 bhp,5,,1,1
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,31400,50645,Petrol,Automatic,Second,25.69,10.93,2497 CC,204 bhp,5,,10.75,10.75
Maruti Swift Dzire LDi,Hyderabad,2011,80601,130002,Diesel,Manual,First,45.36,19.3,1248 CC,73.9 bhp,5,,3.85,3.85
Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,66340,107000,Diesel,Manual,First,41.83,17.8,1399 CC,67 bhp,5,,3,3
Honda City i VTEC CVT VX,Coimbatore,2015,26009,41950,Petrol,Automatic,First,42.30,18,1497 CC,117.3 bhp,5,,9.6,9.6
Toyota Fortuner 4x2 Manual,Delhi,2012,67580,109000,Diesel,Manual,First,30.55,13,2982 CC,168.5 bhp,7,,13.25,13.25
Honda Amaze VX O i VTEC,Mumbai,2016,5580,9000,Petrol,Manual,First,42.30,18,1198 CC,86.7 bhp,5,,5.75,5.75
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,27218,43900,Diesel,Manual,First,52.97,22.54,1396 CC,88.73 bhp,5,,6.75,6.75
Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,39680,64000,Diesel,Manual,Second,42.77,18.2,1248 CC,73.8 bhp,7,,4.85,4.85
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,8178,13190,Petrol,Automatic,First,0.00,0,1950 CC,181.43 bhp,5,49.49,38.99,10.5
Maruti SX4 ZXI AT Leather,Mumbai,2009,48144,77652,Petrol,Automatic,First,29.61,12.6,1586 CC,103.2 bhp,5,,2.85,2.85
Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,34100,55000,Diesel,Manual,First,30.53,12.99,2494 CC,100 bhp,7,,9.51,9.51
BMW 5 Series 2003-2012 520d,Ahmedabad,2012,37138,59900,Diesel,Automatic,Second,43.43,18.48,1995 CC,177 bhp,5,,18.5,18.5
Renault Duster 110PS Diesel RxZ,Delhi,2015,45594,73539,Diesel,Manual,First,44.67,19.01,1461 CC,108.45 bhp,5,,6.75,6.75
BMW X1 sDrive 20d xLine,Coimbatore,2017,19620,31645,Diesel,Automatic,First,48.60,20.68,1995 CC,190 bhp,5,48.18,29.4,18.78
Honda City ZX GXi,Kochi,2009,43208,69690,Petrol,Manual,First,41.60,17.7,1497 CC,78 bhp,5,,3.29,3.29
Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,25420,41000,Diesel,Manual,First,66.01,28.09,1248 CC,88.5 bhp,5,,9.5,9.5
Maruti Swift Dzire VXi,Pune,2010,67704,109200,Petrol,Manual,Second,41.13,17.5,1298 CC,85.8 bhp,5,,2.2,2.2
Mahindra XUV500 W6 2WD,Pune,2012,49600,80000,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,6.5,6.5
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,31620,51000,Petrol,Manual,First,31.73,13.5,1799 CC,130 bhp,5,,4.9,4.9
Maruti Ertiga ZDI,Pune,2013,65100,105000,Diesel,Manual,Second,59.85,25.47,1248 CC,88.50 bhp,7,12.34,6.75,5.59
Toyota Etios Liva GD,Chennai,2013,110980,179000,Diesel,Manual,First,55.44,23.59,1364 CC,67.04 bhp,5,,3.8,3.8
Audi TT 2.0 TFSI,Delhi,2013,7502,12100,Petrol,Automatic,First,23.27,9.9,1984 CC,207.8 bhp,2,,29.5,29.5
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,19220,31000,Diesel,Manual,First,49.66,21.13,1498 CC,108.4 bhp,5,15.38,10.5,4.88
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,31000,50000,Diesel,Manual,First,47.33,20.14,1498 CC,88.8 bhp,5,,6.2,6.2
Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,29760,48000,Diesel,Automatic,First,39.95,17,1896 CC,105 bhp,5,,5,5
Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,21700,35000,Diesel,Manual,First,45.12,19.2,1461 CC,65 bhp,5,,2.3,2.3
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,62124,100200,Diesel,Automatic,First,26.70,11.36,2755 CC,171.5 bhp,7,19.21,17,2.21
BMW 3 Series 320d Luxury Line,Bangalore,2014,29140,47000,Diesel,Automatic,First,44.37,18.88,1995 CC,184 bhp,5,,25.5,25.5
Honda Jazz 1.5 S i DTEC,Jaipur,2015,39458,63642,Diesel,Manual,First,64.16,27.3,1498 CC,98.6 bhp,5,,5.65,5.65
Honda Amaze VX i-DTEC,Kochi,2015,38781,62550,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,5.6,5.6
Jaguar XF 2.2 Litre Luxury,Kochi,2015,23151,37340,Diesel,Automatic,First,38.45,16.36,2179 CC,187.7 bhp,5,,29.98,29.98
Maruti Swift Dzire VDI,Coimbatore,2016,23846,38461,Diesel,Manual,First,62.49,26.59,1248 CC,74 bhp,5,,7.39,7.39
Jeep Compass 2.0 Limited,Jaipur,2018,17980,29000,Diesel,Manual,First,40.19,17.1,1956 CC,170 bhp,5,22.95,19,3.95
Toyota Corolla Altis 1.8 Sport,Pune,2010,19220,31000,Petrol,Manual,First,29.38,12.5,1794 CC,132 bhp,5,,5,5
Honda City 1.5 V MT,Kolkata,2011,26093,42086,Petrol,Manual,First,39.95,17,1497 CC,118 bhp,5,,3.35,3.35
Maruti Swift ZXI,Chennai,2013,30380,49000,Petrol,Manual,First,43.71,18.6,1197 CC,85.8 bhp,5,,4.45,4.45
Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,47889,77240,Diesel,Automatic,First,52.45,22.32,1582 CC,126.32 bhp,5,,8.31,8.31
Mahindra Bolero ZLX,Jaipur,2012,65100,105000,Diesel,Manual,Second,37.51,15.96,2523 CC,62.1 bhp,7,11.15,6,5.15
Maruti Swift VDI,Chennai,2014,21700,35000,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,5.25,5.25
Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,125291,202082,Diesel,Automatic,First,41.55,17.68,1968 CC,174.33 bhp,5,,12.3,12.3
Ford Ikon 1.3 LXi NXt,Chennai,2004,79980,129000,Petrol,Manual,Third,32.43,13.8,1299 CC,70 bhp,5,,1.5,1.5
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,20806,33558,Diesel,Manual,First,47.33,20.14,1498 CC,88 bhp,5,10.32,8.12,2.2
Mahindra Bolero VLX CRDe,Coimbatore,2012,37368,60271,Diesel,Manual,First,31.96,13.6,2523 CC,63 bhp,7,,6.12,6.12
Honda City i DTEC VX Option,Coimbatore,2017,28127,45366,Diesel,Manual,First,58.99,25.1,1498 CC,98.6 bhp,5,,10.88,10.88
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,5890,9500,Petrol,Manual,First,42.77,18.2,1199 CC,82.5 bhp,5,,3.5,3.5
Hyundai i20 1.2 Spotz,Kochi,2016,26264,42362,Petrol,Manual,First,43.71,18.6,1197 CC,81.83 bhp,5,,6.15,6.15
BMW X1 sDrive 20d Sportline,Chennai,2016,13020,21000,Diesel,Automatic,First,40.07,17.05,1995 CC,184 bhp,5,,33,33
BMW X1 sDrive 20d Exclusive,Mumbai,2012,9424,15200,Diesel,Automatic,First,35.39,15.06,1995 CC,177 bhp,5,,13.5,13.5
Toyota Fortuner 4x2 AT,Mumbai,2015,27088,43690,Diesel,Automatic,First,29.49,12.55,2982 CC,168.5 bhp,7,,17.11,17.11
Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,49554,79926,Diesel,Automatic,First,26.63,11.33,4134 CC,335.2 bhp,7,,29.77,29.77
Maruti Ertiga VDI,Kolkata,2013,32905,53073,Diesel,Manual,First,48.81,20.77,1248 CC,88.76 bhp,7,,5.95,5.95
Hyundai i20 1.2 Magna,Bangalore,2015,36580,59000,Petrol,Manual,First,43.48,18.5,1197 CC,80 bhp,5,,5.75,5.75
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,29195,47088,Petrol,Automatic,Second,23.81,10.13,3498 CC,364.9 bhp,5,,19,19
Renault Duster 85PS Diesel RxL,Ahmedabad,2014,34100,55000,Diesel,Manual,First,48.06,20.45,1461 CC,83.8 bhp,5,,4.75,4.75
Mahindra Quanto C2,Hyderabad,2013,49867,80430,Diesel,Manual,Second,40.44,17.21,1493 CC,100 bhp,7,,3.3,3.3
Toyota Fortuner 4x2 AT,Delhi,2013,44598,71932,Diesel,Automatic,First,29.49,12.55,2982 CC,168.5 bhp,7,,16.5,16.5
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,11780,19000,Diesel,Automatic,First,37.53,15.97,2993 CC,258 bhp,7,,44,44
Maruti Swift Dzire VDi,Hyderabad,2011,50691,81759,Diesel,Manual,First,45.36,19.3,1248 CC,73.9 bhp,5,,4.39,4.39
Maruti Swift LDI Optional,Kochi,2018,32246,52010,Diesel,Manual,First,59.22,25.2,1248 CC,74 bhp,5,,6.2,6.2
Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,36551,58953,Petrol,Automatic,First,31.80,13.53,1984 CC,177.01 bhp,5,,24.22,24.22
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,57660,93000,Diesel,Manual,Third,24.68,10.5,2835 CC,107.2 bhp,6,,5.45,5.45
Jaguar XF 2.2 Litre Executive,Delhi,2016,6200,10000,Diesel,Automatic,First,38.45,16.36,2179 CC,187.7 bhp,5,,44,44
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,25218,40674,Diesel,Automatic,First,26.70,11.36,2755 CC,171.5 bhp,7,28.05,24.82,3.23
Skoda Octavia Ambition 2.0 TDI AT,Mumbai,2015,31000,50000,Diesel,Automatic,First,45.36,19.3,1968 CC,141 bhp,5,,11.69,11.69
Toyota Corolla Altis VL AT,Bangalore,2018,825,1331,Petrol,Automatic,First,33.56,14.28,1798 CC,138.03 bhp,5,,20,20
Maruti Omni 8 Seater BSII,Pune,2010,37200,60000,Petrol,Manual,First,46.30,19.7,796 CC,35 bhp,8,,1.45,1.45
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,6202,10003,Diesel,Automatic,First,42.07,17.9,2143 CC,170 bhp,5,59.77,48.5,11.27
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,15500,25000,Diesel,Automatic,First,50.53,21.5,1498 CC,108.5 bhp,5,15.86,9.45,6.41
Mahindra XUV500 W10 2WD,Ahmedabad,2015,45260,73000,Diesel,Manual,First,37.60,16,2179 CC,140 bhp,7,,12.5,12.5
Nissan Terrano XL 85 PS,Hyderabad,2014,37176,59962,Diesel,Manual,First,48.06,20.45,1461 CC,83.8 bhp,5,,6.9,6.9
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,44640,72000,Diesel,Manual,Second,52.45,22.32,1582 CC,126.32 bhp,5,,5.8,5.8
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,13000,20967,Diesel,Automatic,First,34.52,14.69,2993 CC,258 bhp,5,,44.56,44.56
Mahindra Scorpio S4 Plus,Bangalore,2015,21700,35000,Diesel,Manual,Second,36.19,15.4,2179 CC,120 bhp,7,,8.5,8.5
Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,23595,38056,Diesel,Manual,First,56.17,23.9,1582 CC,126.2 bhp,5,,10.7,10.7
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,58280,94000,Diesel,Automatic,Second,28.36,12.07,2967 CC,241.4 bhp,7,,12,12
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,39826,64236,Petrol,Manual,First,34.55,14.7,1150 CC,76 bhp,5,,2.44,2.44
Mahindra Bolero ZLX BSIII,Kolkata,2000,76880,124000,Diesel,Manual,First,31.96,13.6,2523 CC,63 bhp,7,,1.95,1.95
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,4588,7400,Petrol,Manual,First,44.89,19.1,1197 CC,82 bhp,5,,4.35,4.35
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,32240,52000,Diesel,Manual,First,32.15,13.68,2393 CC,147.8 bhp,8,19.43,17.5,1.93
Hyundai EON Era Plus,Hyderabad,2015,42634,68764,Petrol,Manual,First,49.59,21.1,814 CC,55.2 bhp,5,,2.9,2.9
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,39680,64000,Diesel,Manual,First,51.86,22.07,1199 CC,73.9 bhp,5,,2.9,2.9
Maruti Vitara Brezza ZDi,Pune,2016,13366,21558,Diesel,Manual,First,57.11,24.3,1248 CC,88.5 bhp,5,10.65,8.9,1.75
BMW 3 Series 320d Prestige,Mumbai,2013,23250,37500,Diesel,Automatic,First,44.37,18.88,1995 CC,184 bhp,5,,16.75,16.75
Hyundai EON Sportz,Coimbatore,2016,8728,14077,Petrol,Manual,First,49.59,21.1,814 CC,55.2 bhp,5,,3.95,3.95
Honda City 1.5 S MT,Mumbai,2009,43400,70000,Petrol,Manual,First,39.95,17,1497 CC,118 bhp,5,,2.1,2.1
Honda Accord 2.4 MT,Kochi,2011,33676,54316,Petrol,Manual,Second,30.08,12.8,2354 CC,177.6 bhp,5,,4.29,4.29
Mahindra Xylo E8,Hyderabad,2009,56274,90764,Diesel,Manual,First,32.90,14,2498 CC,112 bhp,8,,3.85,3.85
BMW 3 Series 320d,Chennai,2009,84940,137000,Diesel,Automatic,Second,31.02,13.2,1995 CC,170 bhp,5,,9,9
Honda City V MT,Pune,2013,78740,127000,Petrol,Manual,Second,39.48,16.8,1497 CC,116.3 bhp,5,,4.5,4.5
Mahindra XUV500 W10 2WD,Kochi,2016,32168,51884,Diesel,Manual,First,37.60,16,2179 CC,140 bhp,7,,12.46,12.46
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,41792,67407,Diesel,Manual,First,49.98,21.27,1396 CC,88.76 bhp,5,,4.65,4.65
Toyota Fortuner 4x2 Manual,Hyderabad,2014,66852,107825,Diesel,Manual,First,30.55,13,2982 CC,168.5 bhp,7,,20.5,20.5
Mahindra Bolero DI BSII,Chennai,2006,51121,82453,Diesel,Manual,First,31.96,13.6,2523 CC,63 bhp,8,,2.9,2.9
Maruti Esteem Vxi - BSIII,Chennai,2007,18873,30441,Petrol,Manual,First,37.37,15.9,1298 CC,85 bhp,5,,1.45,1.45
Mini Cooper 5 DOOR D,Mumbai,2016,6820,11000,Diesel,Automatic,First,48.65,20.7,1496 CC,113.98 bhp,5,42.12,29.5,12.62
Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,37820,61000,Diesel,Automatic,First,36.97,15.73,1968 CC,174.33 bhp,5,,25,25
Hyundai i20 Sportz Option,Delhi,2013,30041,48454,Petrol,Manual,Second,39.95,17,1197 CC,80 bhp,5,,3.5,3.5
Tata Safari Storme VX Varicor 400,Jaipur,2017,22940,37000,Diesel,Manual,First,33.14,14.1,2179 CC,154 bhp,7,16.95,11.25,5.7
Honda BR-V i-DTEC VX MT,Kochi,2017,19994,32249,Diesel,Manual,First,51.47,21.9,1498 CC,98.6 bhp,7,15.45,10.79,4.66
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,35960,58000,Diesel,Manual,First,45.43,19.33,1968 CC,138.03 bhp,5,,5.9,5.9
Hyundai Xcent 1.2 Kappa S Option,Jaipur,2017,17583,28360,Petrol,Manual,First,44.89,19.1,1197 CC,81.86 bhp,5,,5.12,5.12
Maruti Ignis 1.2 Alpha,Mumbai,2017,4340,7000,Petrol,Manual,First,49.09,20.89,1197 CC,81.80 bhp,5,7.87,5.7,2.17
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,12188,19658,Diesel,Automatic,First,42.58,18.12,1995 CC,190 bhp,5,,35.84,35.84
Ford Ikon 1.3 CLXi,Hyderabad,2007,57040,92000,Petrol,Manual,First,32.43,13.8,1299 CC,70 bhp,5,,1.25,1.25
Hyundai i10 Sportz,Kolkata,2013,15500,25000,Petrol,Manual,First,47.85,20.36,1197 CC,78.9 bhp,5,,2.65,2.65
Hyundai Verna 1.6 CRDI,Coimbatore,2016,23487,37882,Diesel,Manual,First,52.45,22.32,1582 CC,126.3 bhp,5,,9.19,9.19
BMW 3 Series 320d Highline,Bangalore,2014,42985,69330,Diesel,Automatic,First,37.76,16.07,1995 CC,181 bhp,5,,23.5,23.5
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Delhi,2011,37820,61000,Petrol,Automatic,First,28.91,12.3,1796 CC,185 bhp,5,,12.5,12.5
Chevrolet Beat Option Pack,Kolkata,2010,21700,35000,Petrol,Manual,Second,43.71,18.6,1199 CC,79.4 bhp,5,,1.5,1.5
Mahindra XUV500 W8 2WD,Delhi,2012,44919,72450,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,8.1,8.1
Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,22556,36381,Diesel,Manual,First,66.01,28.09,1248 CC,88.5 bhp,5,,9.75,9.75
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,15847,25559,Diesel,Automatic,First,46.32,19.71,2143 CC,201.15 bhp,5,,37.93,37.93
Honda City ZX CVT,Chennai,2005,62000,100000,Petrol,Automatic,Third,38.54,16.4,1497 CC,78 bhp,5,,1.96,1.96
Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,58280,94000,Diesel,Automatic,First,27.03,11.5,2982 CC,169 bhp,7,,20.5,20.5
Maruti Alto K10 VXI,Bangalore,2011,39901,64357,Petrol,Manual,First,56.56,24.07,998 CC,67.1 bhp,5,4.70,2.75,1.95
Jaguar XJ 2.0L Portfolio,Mumbai,2017,6511,10501,Petrol,Automatic,First,22.16,9.43,1999 CC,237.4 bhp,5,,75,75
Hyundai i20 1.4 Magna ABS,Chennai,2009,29140,47000,Diesel,Manual,First,51.47,21.9,1396 CC,90 bhp,5,,2.8,2.8
Honda BRV i-VTEC V CVT,Mumbai,2017,11160,18000,Petrol,Automatic,First,37.60,16,1497 CC,117.3 bhp,7,15.02,9.25,5.77
